Statistic Label,Quarter,Garda Region,Type of Offence,UNIT,VALUE
Recorded crime incidents,2025Q2,10 Dublin Metropolitan Region,Other drug offences (103),Number,155
Recorded crime incidents,2025Q2,10 Dublin Metropolitan Region,Weapons and explosives offences (11),Number,367
Recorded crime incidents,2025Q2,10 Dublin Metropolitan Region,"Explosives, chemical weapons offences (111)",Number,10
Recorded crime incidents,2025Q2,10 Dublin Metropolitan Region,Discharging a firearm (1121),Number,16
Recorded crime incidents,2025Q2,10 Dublin Metropolitan Region,Possession of a firearm (1122),Number,19
Recorded crime incidents,2025Q2,10 Dublin Metropolitan Region,Offensive weapons offences (n.e.c.) (113),Number,322
Recorded crime incidents,2025Q2,10 Dublin Metropolitan Region,Fireworks offences (114),Number,0
Recorded crime incidents,2025Q2,10 Dublin Metropolitan Region,Damage to property and to the environment  offences (12),Number,2127
Recorded crime incidents,2025Q2,10 Dublin Metropolitan Region,Arson (1211),Number,206
Recorded crime incidents,2025Q2,10 Dublin Metropolitan Region,Criminal damage (not arson) (1212),Number,1916
Recorded crime incidents,2025Q2,10 Dublin Metropolitan Region,Litter offences (1221),Number,5
Recorded crime incidents,2025Q2,10 Dublin Metropolitan Region,Public order and other social code offences (13),Number,3389
Recorded crime incidents,2025Q2,10 Dublin Metropolitan Region,Disorderly conduct (131),Number,2945
Recorded crime incidents,2025Q2,10 Dublin Metropolitan Region,Trespass offences (132),Number,351
Recorded crime incidents,2025Q2,10 Dublin Metropolitan Region,Liquor licensing offences (133),Number,15
Recorded crime incidents,2025Q2,10 Dublin Metropolitan Region,Prostitution offences (134),Number,2
Recorded crime incidents,2025Q2,10 Dublin Metropolitan Region,"Regulated betting/money, collection/trading offences (135)",Number,4
Recorded crime incidents,2025Q2,10 Dublin Metropolitan Region,Social code offences (n.e.c.) (136),Number,72
Recorded crime incidents,2025Q2,10 Dublin Metropolitan Region,Road and traffic offences (14),Number,4374
Recorded crime incidents,2025Q2,10 Dublin Metropolitan Region,"Driving licence-failure to have, produce, etc. (1411)",Number,386
Recorded crime incidents,2025Q2,10 Dublin Metropolitan Region,"Insurance-failure to have, produce, display, etc. (1412)",Number,668
Recorded crime incidents,2025Q2,10 Dublin Metropolitan Region,Vehicle tax/registration offences (142),Number,546
Recorded crime incidents,2025Q2,10 Dublin Metropolitan Region,Roadworthiness/regulatory offences (143),Number,22
Recorded crime incidents,2025Q2,10 Dublin Metropolitan Region,Obstruction under Road Traffic Acts (1432),Number,2
Recorded crime incidents,2025Q2,10 Dublin Metropolitan Region,Other road offences (1433),Number,2645
Recorded crime incidents,2025Q2,10 Dublin Metropolitan Region,Road transport - carriage of goods offences (1441),Number,5
Recorded crime incidents,2025Q2,10 Dublin Metropolitan Region,Public service vehicle offences (1442),Number,99
Recorded crime incidents,2025Q2,10 Dublin Metropolitan Region,Light rail offences (Luas) (1443),Number,1
Recorded crime incidents,2025Q2,10 Dublin Metropolitan Region,"Offences against government, justice procedures and organisation of crime (15)",Number,2366
Recorded crime incidents,2025Q2,10 Dublin Metropolitan Region,Offences against government and its agents (151),Number,9
Recorded crime incidents,2025Q2,10 Dublin Metropolitan Region,Organisation of crime and conspiracy to commit crime (152),Number,5
Recorded crime incidents,2025Q2,10 Dublin Metropolitan Region,Perverting the course of justice (153),Number,2
Recorded crime incidents,2025Q2,10 Dublin Metropolitan Region,"Offences while in custody, breach of court orders (157)",Number,2350
Recorded crime incidents,2025Q2,10 Dublin Metropolitan Region,Offences not elsewhere classified (16),Number,156
Recorded crime incidents,2025Q2,20 North Western Region,Homicide & related offences (01),Number,2
Recorded crime incidents,2025Q2,20 North Western Region,Murder (0111),Number,1
Recorded crime incidents,2025Q2,20 North Western Region,Manslaughter (0112),Number,0
Recorded crime incidents,2025Q2,20 North Western Region,Infanticide (0113),Number,0
Recorded crime incidents,2025Q2,20 North Western Region,Dangerous driving leading to death (012),Number,1
Recorded crime incidents,2025Q2,20 North Western Region,Sexual offences (02),Number,206
Recorded crime incidents,2025Q2,20 North Western Region,Rape and sexual assault (021),Number,172
Recorded crime incidents,2025Q2,20 North Western Region,Other sexual offences (022),Number,34
Recorded crime incidents,2025Q2,20 North Western Region,"Attempts/threats to murder, assaults, harassments and related offences (03)",Number,1324
Recorded crime incidents,2025Q2,20 North Western Region,Murder-attempt (0311),Number,0
Recorded crime incidents,2025Q2,20 North Western Region,Threat to kill or cause serious harm (0313),Number,123
Recorded crime incidents,2025Q2,20 North Western Region,Harassment and related offences (033),Number,131
Recorded crime incidents,2025Q2,20 North Western Region,"Assault causing harm, poisoning (034)",Number,294
Recorded crime incidents,2025Q2,20 North Western Region,Other assault (035),Number,776
Recorded crime incidents,2025Q2,20 North Western Region,Dangerous or negligent acts (04),Number,2396
Recorded crime incidents,2025Q2,20 North Western Region,Dangerous driving causing serious bodily harm (0411),Number,2
Recorded crime incidents,2025Q2,20 North Western Region,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412,0413)",Number,525
Recorded crime incidents,2025Q2,20 North Western Region,Driving/in charge of a vehicle while over legal alcohol limit (0412),Number,525
Recorded crime incidents,2025Q2,20 North Western Region,Driving/in charge of a vehicle under the influence of drugs (0413),Number,0
Recorded crime incidents,2025Q2,20 North Western Region,Dangerous/careless driving and motorway offences (0414),Number,458
Recorded crime incidents,2025Q2,20 North Western Region,Speeding (0415),Number,1381
Recorded crime incidents,2025Q2,20 North Western Region,Endangerment with potential for serious harm/death (0421),Number,10
Recorded crime incidents,2025Q2,20 North Western Region,"Abandoning a child, child neglect and cruelty (0422)",Number,10
Recorded crime incidents,2025Q2,20 North Western Region,Unseaworthy/dangerous use of boat or ship (0423),Number,1
Recorded crime incidents,2025Q2,20 North Western Region,False alarm/interference with aircraft or air transport facilities (0424),Number,0
Recorded crime incidents,2025Q2,20 North Western Region,Endangering traffic offences (0425),Number,9
Recorded crime incidents,2025Q2,20 North Western Region,Kidnapping and related offences (05),Number,7
Recorded crime incidents,2025Q2,20 North Western Region,False imprisonment (0511),Number,5
Recorded crime incidents,2025Q2,20 North Western Region,Abduction of person under 16 years of age (0512),Number,1
Recorded crime incidents,2025Q2,20 North Western Region,Human trafficking offences (0513),Number,1
Recorded crime incidents,2025Q2,20 North Western Region,"Robbery, extortion and hijacking offences (06)",Number,53
Recorded crime incidents,2025Q2,20 North Western Region,Robbery of an establishment or institution (0611),Number,3
Recorded crime incidents,2025Q2,20 North Western Region,Robbery of cash or goods in transit (0612),Number,0
Recorded crime incidents,2025Q2,20 North Western Region,Robbery from the person (0613),Number,18
Recorded crime incidents,2025Q2,20 North Western Region,Blackmail or extortion (0621),Number,28
Recorded crime incidents,2025Q2,20 North Western Region,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",Number,4
Recorded crime incidents,2025Q2,20 North Western Region,Burglary and related offences (07),Number,276
Recorded crime incidents,2025Q2,20 North Western Region,Aggravated burglary (0711),Number,10
Recorded crime incidents,2025Q2,20 North Western Region,Burglary (not aggravated) (0712),Number,263
Recorded crime incidents,2025Q2,20 North Western Region,"Possession of an article (with intent to burgle, steal, demand) (0713)",Number,3
Recorded crime incidents,2025Q2,20 North Western Region,Theft and related offences (08),Number,2088
Recorded crime incidents,2025Q2,20 North Western Region,Theft/taking of vehicle and related offences (081),Number,156
Recorded crime incidents,2025Q2,20 North Western Region,Theft from person (0821),Number,28
Recorded crime incidents,2025Q2,20 North Western Region,Theft from shop (0822),Number,1172
Recorded crime incidents,2025Q2,20 North Western Region,"Other thefts, handling stolen property (084)",Number,732
Recorded crime incidents,2025Q2,20 North Western Region,"Fraud, deception and related offences (09)",Number,
Recorded crime incidents,2025Q2,20 North Western Region,Controlled drug offences (10),Number,597
Recorded crime incidents,2025Q2,20 North Western Region,Importation of drugs (1011),Number,0
Recorded crime incidents,2025Q2,20 North Western Region,Cultivation or manufacture of drugs (1012),Number,7
Recorded crime incidents,2025Q2,20 North Western Region,Possession of drugs for sale or supply (1021),Number,145
Recorded crime incidents,2025Q2,20 North Western Region,Possession of drugs for personal use (1022),Number,430
Recorded crime incidents,2025Q2,20 North Western Region,Other drug offences (103),Number,15
Recorded crime incidents,2025Q2,20 North Western Region,Weapons and explosives offences (11),Number,122
Recorded crime incidents,2025Q2,20 North Western Region,"Explosives, chemical weapons offences (111)",Number,3
Recorded crime incidents,2025Q2,20 North Western Region,Discharging a firearm (1121),Number,5
Recorded crime incidents,2025Q2,20 North Western Region,Possession of a firearm (1122),Number,6
Recorded crime incidents,2025Q2,20 North Western Region,Offensive weapons offences (n.e.c.) (113),Number,106
Recorded crime incidents,2025Q2,20 North Western Region,Fireworks offences (114),Number,2
Recorded crime incidents,2025Q2,20 North Western Region,Damage to property and to the environment  offences (12),Number,997
Recorded crime incidents,2025Q2,20 North Western Region,Arson (1211),Number,90
Recorded crime incidents,2025Q2,20 North Western Region,Criminal damage (not arson) (1212),Number,901
Recorded crime incidents,2025Q2,20 North Western Region,Litter offences (1221),Number,6
Recorded crime incidents,2025Q2,20 North Western Region,Public order and other social code offences (13),Number,1608
Recorded crime incidents,2025Q2,20 North Western Region,Disorderly conduct (131),Number,1486
Recorded crime incidents,2025Q2,20 North Western Region,Trespass offences (132),Number,82
Recorded crime incidents,2025Q2,20 North Western Region,Liquor licensing offences (133),Number,5
Recorded crime incidents,2025Q2,20 North Western Region,Prostitution offences (134),Number,1
Recorded crime incidents,2025Q2,20 North Western Region,"Regulated betting/money, collection/trading offences (135)",Number,1
Recorded crime incidents,2025Q2,20 North Western Region,Social code offences (n.e.c.) (136),Number,33
Recorded crime incidents,2025Q2,20 North Western Region,Road and traffic offences (14),Number,2180
Recorded crime incidents,2025Q2,20 North Western Region,"Driving licence-failure to have, produce, etc. (1411)",Number,130
Recorded crime incidents,2025Q2,20 North Western Region,"Insurance-failure to have, produce, display, etc. (1412)",Number,624
Recorded crime incidents,2025Q2,20 North Western Region,Vehicle tax/registration offences (142),Number,352
Recorded crime incidents,2025Q2,20 North Western Region,Roadworthiness/regulatory offences (143),Number,51
Recorded crime incidents,2025Q2,20 North Western Region,Obstruction under Road Traffic Acts (1432),Number,4
Recorded crime incidents,2025Q2,20 North Western Region,Other road offences (1433),Number,991
Recorded crime incidents,2025Q2,20 North Western Region,Road transport - carriage of goods offences (1441),Number,10
Recorded crime incidents,2025Q2,20 North Western Region,Public service vehicle offences (1442),Number,18
Recorded crime incidents,2025Q2,20 North Western Region,Light rail offences (Luas) (1443),Number,0
Recorded crime incidents,2025Q2,20 North Western Region,"Offences against government, justice procedures and organisation of crime (15)",Number,392
Recorded crime incidents,2025Q2,20 North Western Region,Offences against government and its agents (151),Number,22
Recorded crime incidents,2025Q2,20 North Western Region,Organisation of crime and conspiracy to commit crime (152),Number,1
Recorded crime incidents,2025Q2,20 North Western Region,Perverting the course of justice (153),Number,1
Recorded crime incidents,2025Q2,20 North Western Region,"Offences while in custody, breach of court orders (157)",Number,368
Recorded crime incidents,2025Q2,20 North Western Region,Offences not elsewhere classified (16),Number,81
Recorded crime incidents,2025Q2,30 Eastern Region,Homicide & related offences (01),Number,2
Recorded crime incidents,2025Q2,30 Eastern Region,Murder (0111),Number,0
Recorded crime incidents,2025Q2,30 Eastern Region,Manslaughter (0112),Number,0
Recorded crime incidents,2025Q2,30 Eastern Region,Infanticide (0113),Number,0
Recorded crime incidents,2025Q2,30 Eastern Region,Dangerous driving leading to death (012),Number,2
Recorded crime incidents,2025Q2,30 Eastern Region,Sexual offences (02),Number,243
Recorded crime incidents,2025Q2,30 Eastern Region,Rape and sexual assault (021),Number,207
Recorded crime incidents,2025Q2,30 Eastern Region,Other sexual offences (022),Number,36
Recorded crime incidents,2025Q2,30 Eastern Region,"Attempts/threats to murder, assaults, harassments and related offences (03)",Number,1480
Recorded crime incidents,2025Q2,30 Eastern Region,Murder-attempt (0311),Number,0
Recorded crime incidents,2025Q2,30 Eastern Region,Threat to kill or cause serious harm (0313),Number,153
Recorded crime incidents,2025Q2,30 Eastern Region,Harassment and related offences (033),Number,141
Recorded crime incidents,2025Q2,30 Eastern Region,"Assault causing harm, poisoning (034)",Number,306
Recorded crime incidents,2025Q2,30 Eastern Region,Other assault (035),Number,880
Recorded crime incidents,2025Q2,30 Eastern Region,Dangerous or negligent acts (04),Number,2268
Recorded crime incidents,2025Q2,30 Eastern Region,Dangerous driving causing serious bodily harm (0411),Number,1
Recorded crime incidents,2025Q2,30 Eastern Region,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412,0413)",Number,449
Recorded crime incidents,2025Q2,30 Eastern Region,Driving/in charge of a vehicle while over legal alcohol limit (0412),Number,449
Recorded crime incidents,2025Q2,30 Eastern Region,Driving/in charge of a vehicle under the influence of drugs (0413),Number,0
Recorded crime incidents,2025Q2,30 Eastern Region,Dangerous/careless driving and motorway offences (0414),Number,536
Recorded crime incidents,2025Q2,30 Eastern Region,Speeding (0415),Number,1237
Recorded crime incidents,2025Q2,30 Eastern Region,Endangerment with potential for serious harm/death (0421),Number,13
Recorded crime incidents,2025Q2,30 Eastern Region,"Abandoning a child, child neglect and cruelty (0422)",Number,15
Recorded crime incidents,2025Q2,30 Eastern Region,Unseaworthy/dangerous use of boat or ship (0423),Number,0
Recorded crime incidents,2025Q2,30 Eastern Region,False alarm/interference with aircraft or air transport facilities (0424),Number,0
Recorded crime incidents,2025Q2,30 Eastern Region,Endangering traffic offences (0425),Number,17
Recorded crime incidents,2025Q2,30 Eastern Region,Kidnapping and related offences (05),Number,8
Recorded crime incidents,2025Q2,30 Eastern Region,False imprisonment (0511),Number,2
Recorded crime incidents,2025Q2,30 Eastern Region,Abduction of person under 16 years of age (0512),Number,3
Recorded crime incidents,2025Q2,30 Eastern Region,Human trafficking offences (0513),Number,3
Recorded crime incidents,2025Q2,30 Eastern Region,"Robbery, extortion and hijacking offences (06)",Number,73
Recorded crime incidents,2025Q2,30 Eastern Region,Robbery of an establishment or institution (0611),Number,6
Recorded crime incidents,2025Q2,30 Eastern Region,Robbery of cash or goods in transit (0612),Number,0
Recorded crime incidents,2025Q2,30 Eastern Region,Robbery from the person (0613),Number,25
Recorded crime incidents,2025Q2,30 Eastern Region,Blackmail or extortion (0621),Number,39
Recorded crime incidents,2025Q2,30 Eastern Region,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",Number,3
Recorded crime incidents,2025Q2,30 Eastern Region,Burglary and related offences (07),Number,504
Recorded crime incidents,2025Q2,30 Eastern Region,Aggravated burglary (0711),Number,18
Recorded crime incidents,2025Q2,30 Eastern Region,Burglary (not aggravated) (0712),Number,477
Recorded crime incidents,2025Q2,30 Eastern Region,"Possession of an article (with intent to burgle, steal, demand) (0713)",Number,9
Recorded crime incidents,2025Q2,30 Eastern Region,Theft and related offences (08),Number,3979
Recorded crime incidents,2025Q2,30 Eastern Region,Theft/taking of vehicle and related offences (081),Number,397
Recorded crime incidents,2025Q2,30 Eastern Region,Theft from person (0821),Number,45
Recorded crime incidents,2025Q2,30 Eastern Region,Theft from shop (0822),Number,2125
Recorded crime incidents,2025Q2,30 Eastern Region,"Other thefts, handling stolen property (084)",Number,1412
Recorded crime incidents,2025Q2,30 Eastern Region,"Fraud, deception and related offences (09)",Number,
Recorded crime incidents,2025Q2,30 Eastern Region,Controlled drug offences (10),Number,828
Recorded crime incidents,2025Q2,30 Eastern Region,Importation of drugs (1011),Number,0
Recorded crime incidents,2025Q2,30 Eastern Region,Cultivation or manufacture of drugs (1012),Number,6
Recorded crime incidents,2025Q2,30 Eastern Region,Possession of drugs for sale or supply (1021),Number,202
Recorded crime incidents,2025Q2,30 Eastern Region,Possession of drugs for personal use (1022),Number,601
Recorded crime incidents,2025Q2,30 Eastern Region,Other drug offences (103),Number,19
Recorded crime incidents,2025Q2,30 Eastern Region,Weapons and explosives offences (11),Number,126
Recorded crime incidents,2025Q2,30 Eastern Region,"Explosives, chemical weapons offences (111)",Number,5
Recorded crime incidents,2025Q2,30 Eastern Region,Discharging a firearm (1121),Number,2
Recorded crime incidents,2025Q2,30 Eastern Region,Possession of a firearm (1122),Number,7
Recorded crime incidents,2025Q2,30 Eastern Region,Offensive weapons offences (n.e.c.) (113),Number,111
Recorded crime incidents,2025Q2,30 Eastern Region,Fireworks offences (114),Number,1
Recorded crime incidents,2025Q2,30 Eastern Region,Damage to property and to the environment  offences (12),Number,1059
Recorded crime incidents,2025Q2,30 Eastern Region,Arson (1211),Number,111
Recorded crime incidents,2025Q2,30 Eastern Region,Criminal damage (not arson) (1212),Number,941
Recorded crime incidents,2025Q2,30 Eastern Region,Litter offences (1221),Number,7
Recorded crime incidents,2025Q2,30 Eastern Region,Public order and other social code offences (13),Number,1603
Recorded crime incidents,2025Q2,30 Eastern Region,Disorderly conduct (131),Number,1399
Recorded crime incidents,2025Q2,30 Eastern Region,Trespass offences (132),Number,160
Recorded crime incidents,2025Q2,30 Eastern Region,Liquor licensing offences (133),Number,5
Recorded crime incidents,2025Q2,30 Eastern Region,Prostitution offences (134),Number,1
Recorded crime incidents,2025Q2,30 Eastern Region,"Regulated betting/money, collection/trading offences (135)",Number,0
Recorded crime incidents,2025Q2,30 Eastern Region,Social code offences (n.e.c.) (136),Number,38
Recorded crime incidents,2025Q2,30 Eastern Region,Road and traffic offences (14),Number,2719
Recorded crime incidents,2025Q2,30 Eastern Region,"Driving licence-failure to have, produce, etc. (1411)",Number,216
Recorded crime incidents,2025Q2,30 Eastern Region,"Insurance-failure to have, produce, display, etc. (1412)",Number,683
Recorded crime incidents,2025Q2,30 Eastern Region,Vehicle tax/registration offences (142),Number,423
Recorded crime incidents,2025Q2,30 Eastern Region,Roadworthiness/regulatory offences (143),Number,32
Recorded crime incidents,2025Q2,30 Eastern Region,Obstruction under Road Traffic Acts (1432),Number,2
Recorded crime incidents,2025Q2,30 Eastern Region,Other road offences (1433),Number,1324
Recorded crime incidents,2025Q2,30 Eastern Region,Road transport - carriage of goods offences (1441),Number,11
Recorded crime incidents,2025Q2,30 Eastern Region,Public service vehicle offences (1442),Number,28
Recorded crime incidents,2025Q2,30 Eastern Region,Light rail offences (Luas) (1443),Number,0
Recorded crime incidents,2025Q2,30 Eastern Region,"Offences against government, justice procedures and organisation of crime (15)",Number,541
Recorded crime incidents,2025Q2,30 Eastern Region,Offences against government and its agents (151),Number,10
Recorded crime incidents,2025Q2,30 Eastern Region,Organisation of crime and conspiracy to commit crime (152),Number,2
Recorded crime incidents,2025Q2,30 Eastern Region,Perverting the course of justice (153),Number,7
Recorded crime incidents,2025Q2,30 Eastern Region,"Offences while in custody, breach of court orders (157)",Number,522
Recorded crime incidents,2025Q2,30 Eastern Region,Offences not elsewhere classified (16),Number,124
Recorded crime incidents,2025Q2,40 Southern Region,Homicide & related offences (01),Number,1
Recorded crime incidents,2025Q2,40 Southern Region,Murder (0111),Number,1
Recorded crime incidents,2025Q2,40 Southern Region,Manslaughter (0112),Number,0
Recorded crime incidents,2025Q2,40 Southern Region,Infanticide (0113),Number,0
Recorded crime incidents,2025Q2,40 Southern Region,Dangerous driving leading to death (012),Number,0
Recorded crime incidents,2025Q2,40 Southern Region,Sexual offences (02),Number,197
Recorded crime incidents,2025Q2,40 Southern Region,Rape and sexual assault (021),Number,175
Recorded crime incidents,2025Q2,40 Southern Region,Other sexual offences (022),Number,22
Recorded crime incidents,2025Q2,40 Southern Region,"Attempts/threats to murder, assaults, harassments and related offences (03)",Number,1380
Recorded crime incidents,2025Q2,40 Southern Region,Murder-attempt (0311),Number,0
Recorded crime incidents,2025Q2,40 Southern Region,Threat to kill or cause serious harm (0313),Number,92
Recorded crime incidents,2025Q2,40 Southern Region,Harassment and related offences (033),Number,115
Recorded crime incidents,2025Q2,40 Southern Region,"Assault causing harm, poisoning (034)",Number,277
Recorded crime incidents,2025Q2,40 Southern Region,Other assault (035),Number,896
Recorded crime incidents,2025Q2,40 Southern Region,Dangerous or negligent acts (04),Number,2246
Recorded crime incidents,2025Q2,40 Southern Region,Dangerous driving causing serious bodily harm (0411),Number,1
Recorded crime incidents,2025Q2,40 Southern Region,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412,0413)",Number,381
Recorded crime incidents,2025Q2,40 Southern Region,Driving/in charge of a vehicle while over legal alcohol limit (0412),Number,381
Recorded crime incidents,2025Q2,40 Southern Region,Driving/in charge of a vehicle under the influence of drugs (0413),Number,0
Recorded crime incidents,2025Q2,40 Southern Region,Dangerous/careless driving and motorway offences (0414),Number,418
Recorded crime incidents,2025Q2,40 Southern Region,Speeding (0415),Number,1415
Recorded crime incidents,2025Q2,40 Southern Region,Endangerment with potential for serious harm/death (0421),Number,8
Recorded crime incidents,2025Q2,40 Southern Region,"Abandoning a child, child neglect and cruelty (0422)",Number,4
Recorded crime incidents,2025Q2,40 Southern Region,Unseaworthy/dangerous use of boat or ship (0423),Number,0
Recorded crime incidents,2025Q2,40 Southern Region,False alarm/interference with aircraft or air transport facilities (0424),Number,0
Recorded crime incidents,2025Q2,40 Southern Region,Endangering traffic offences (0425),Number,19
Recorded crime incidents,2025Q2,40 Southern Region,Kidnapping and related offences (05),Number,12
Recorded crime incidents,2025Q2,40 Southern Region,False imprisonment (0511),Number,7
Recorded crime incidents,2025Q2,40 Southern Region,Abduction of person under 16 years of age (0512),Number,5
Recorded crime incidents,2025Q2,40 Southern Region,Human trafficking offences (0513),Number,0
Recorded crime incidents,2025Q2,40 Southern Region,"Robbery, extortion and hijacking offences (06)",Number,84
Recorded crime incidents,2025Q2,40 Southern Region,Robbery of an establishment or institution (0611),Number,6
Recorded crime incidents,2025Q2,40 Southern Region,Robbery of cash or goods in transit (0612),Number,0
Recorded crime incidents,2025Q2,40 Southern Region,Robbery from the person (0613),Number,30
Recorded crime incidents,2025Q2,40 Southern Region,Blackmail or extortion (0621),Number,44
Recorded crime incidents,2025Q2,40 Southern Region,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",Number,4
Recorded crime incidents,2025Q2,40 Southern Region,Burglary and related offences (07),Number,313
Recorded crime incidents,2025Q2,40 Southern Region,Aggravated burglary (0711),Number,16
Recorded crime incidents,2025Q2,40 Southern Region,Burglary (not aggravated) (0712),Number,294
Recorded crime incidents,2025Q2,40 Southern Region,"Possession of an article (with intent to burgle, steal, demand) (0713)",Number,3
Recorded crime incidents,2025Q2,40 Southern Region,Theft and related offences (08),Number,3372
Recorded crime incidents,2025Q2,40 Southern Region,Theft/taking of vehicle and related offences (081),Number,340
Recorded crime incidents,2025Q2,40 Southern Region,Theft from person (0821),Number,35
Recorded crime incidents,2025Q2,40 Southern Region,Theft from shop (0822),Number,1960
Recorded crime incidents,2025Q2,40 Southern Region,"Other thefts, handling stolen property (084)",Number,1037
Recorded crime incidents,2025Q2,40 Southern Region,"Fraud, deception and related offences (09)",Number,
Recorded crime incidents,2025Q2,40 Southern Region,Controlled drug offences (10),Number,705
Recorded crime incidents,2025Q2,40 Southern Region,Importation of drugs (1011),Number,1
Recorded crime incidents,2025Q2,40 Southern Region,Cultivation or manufacture of drugs (1012),Number,4
Recorded crime incidents,2025Q2,40 Southern Region,Possession of drugs for sale or supply (1021),Number,177
Recorded crime incidents,2025Q2,40 Southern Region,Possession of drugs for personal use (1022),Number,513
Recorded crime incidents,2025Q2,40 Southern Region,Other drug offences (103),Number,10
Recorded crime incidents,2025Q2,40 Southern Region,Weapons and explosives offences (11),Number,159
Recorded crime incidents,2025Q2,40 Southern Region,"Explosives, chemical weapons offences (111)",Number,8
Recorded crime incidents,2025Q2,40 Southern Region,Discharging a firearm (1121),Number,11
Recorded crime incidents,2025Q2,40 Southern Region,Possession of a firearm (1122),Number,9
Recorded crime incidents,2025Q2,40 Southern Region,Offensive weapons offences (n.e.c.) (113),Number,121
Recorded crime incidents,2025Q2,40 Southern Region,Fireworks offences (114),Number,10
Recorded crime incidents,2025Q2,40 Southern Region,Damage to property and to the environment  offences (12),Number,1043
Recorded crime incidents,2025Q2,40 Southern Region,Arson (1211),Number,93
Recorded crime incidents,2025Q2,40 Southern Region,Criminal damage (not arson) (1212),Number,947
Recorded crime incidents,2025Q2,40 Southern Region,Litter offences (1221),Number,3
Recorded crime incidents,2025Q2,40 Southern Region,Public order and other social code offences (13),Number,1615
Recorded crime incidents,2025Q2,40 Southern Region,Disorderly conduct (131),Number,1399
Recorded crime incidents,2025Q2,40 Southern Region,Trespass offences (132),Number,122
Recorded crime incidents,2025Q2,40 Southern Region,Liquor licensing offences (133),Number,8
Recorded crime incidents,2025Q2,40 Southern Region,Prostitution offences (134),Number,3
Recorded crime incidents,2025Q2,40 Southern Region,"Regulated betting/money, collection/trading offences (135)",Number,3
Recorded crime incidents,2025Q2,40 Southern Region,Social code offences (n.e.c.) (136),Number,80
Recorded crime incidents,2025Q2,40 Southern Region,Road and traffic offences (14),Number,2215
Recorded crime incidents,2025Q2,40 Southern Region,"Driving licence-failure to have, produce, etc. (1411)",Number,162
Recorded crime incidents,2025Q2,40 Southern Region,"Insurance-failure to have, produce, display, etc. (1412)",Number,474
Recorded crime incidents,2025Q2,40 Southern Region,Vehicle tax/registration offences (142),Number,381
Recorded crime incidents,2025Q2,40 Southern Region,Roadworthiness/regulatory offences (143),Number,39
Recorded crime incidents,2025Q2,40 Southern Region,Obstruction under Road Traffic Acts (1432),Number,9
Recorded crime incidents,2025Q2,40 Southern Region,Other road offences (1433),Number,1107
Recorded crime incidents,2025Q2,40 Southern Region,Road transport - carriage of goods offences (1441),Number,18
Recorded crime incidents,2025Q2,40 Southern Region,Public service vehicle offences (1442),Number,25
Recorded crime incidents,2025Q2,40 Southern Region,Light rail offences (Luas) (1443),Number,0
Recorded crime incidents,2025Q2,40 Southern Region,"Offences against government, justice procedures and organisation of crime (15)",Number,596
Recorded crime incidents,2025Q2,40 Southern Region,Offences against government and its agents (151),Number,18
Recorded crime incidents,2025Q2,40 Southern Region,Organisation of crime and conspiracy to commit crime (152),Number,0
Recorded crime incidents,2025Q2,40 Southern Region,Perverting the course of justice (153),Number,3
Recorded crime incidents,2025Q2,40 Southern Region,"Offences while in custody, breach of court orders (157)",Number,575
Recorded crime incidents,2025Q2,40 Southern Region,Offences not elsewhere classified (16),Number,129
Recorded crime incidents,2025Q3,10 Dublin Metropolitan Region,Homicide & related offences (01),Number,4
Recorded crime incidents,2025Q3,10 Dublin Metropolitan Region,Murder (0111),Number,3
Recorded crime incidents,2025Q3,10 Dublin Metropolitan Region,Manslaughter (0112),Number,0
Recorded crime incidents,2025Q3,10 Dublin Metropolitan Region,Infanticide (0113),Number,0
Recorded crime incidents,2025Q3,10 Dublin Metropolitan Region,Dangerous driving leading to death (012),Number,1
Recorded crime incidents,2025Q3,10 Dublin Metropolitan Region,Sexual offences (02),Number,303
Recorded crime incidents,2025Q3,10 Dublin Metropolitan Region,Rape and sexual assault (021),Number,270
Recorded crime incidents,2025Q3,10 Dublin Metropolitan Region,Other sexual offences (022),Number,33
Recorded crime incidents,2025Q3,10 Dublin Metropolitan Region,"Attempts/threats to murder, assaults, harassments and related offences (03)",Number,2330
Recorded crime incidents,2025Q3,10 Dublin Metropolitan Region,Murder-attempt (0311),Number,1
Recorded crime incidents,2025Q3,10 Dublin Metropolitan Region,Threat to kill or cause serious harm (0313),Number,198
Recorded crime incidents,2025Q3,10 Dublin Metropolitan Region,Harassment and related offences (033),Number,179
Recorded crime incidents,2025Q3,10 Dublin Metropolitan Region,"Assault causing harm, poisoning (034)",Number,609
Recorded crime incidents,2025Q3,10 Dublin Metropolitan Region,Other assault (035),Number,1343
Recorded crime incidents,2025Q3,10 Dublin Metropolitan Region,Dangerous or negligent acts (04),Number,1374
Recorded crime incidents,2025Q3,10 Dublin Metropolitan Region,Dangerous driving causing serious bodily harm (0411),Number,2
