Statistic Label,Quarter,Garda Region,Type of Offence,UNIT,VALUE
Recorded crime incidents,2023Q1,20 North Western Region,Vehicle tax/registration offences (142),Number,480
Recorded crime incidents,2023Q1,20 North Western Region,Roadworthiness/regulatory offences (143),Number,62
Recorded crime incidents,2023Q1,20 North Western Region,Obstruction under Road Traffic Acts (1432),Number,2
Recorded crime incidents,2023Q1,20 North Western Region,Other road offences (1433),Number,950
Recorded crime incidents,2023Q1,20 North Western Region,Road transport - carriage of goods offences (1441),Number,6
Recorded crime incidents,2023Q1,20 North Western Region,Public service vehicle offences (1442),Number,18
Recorded crime incidents,2023Q1,20 North Western Region,Light rail offences (Luas) (1443),Number,0
Recorded crime incidents,2023Q1,20 North Western Region,"Offences against government, justice procedures and organisation of crime (15)",Number,413
Recorded crime incidents,2023Q1,20 North Western Region,Offences against government and its agents (151),Number,27
Recorded crime incidents,2023Q1,20 North Western Region,Organisation of crime and conspiracy to commit crime (152),Number,1
Recorded crime incidents,2023Q1,20 North Western Region,Perverting the course of justice (153),Number,1
Recorded crime incidents,2023Q1,20 North Western Region,"Offences while in custody, breach of court orders (157)",Number,384
Recorded crime incidents,2023Q1,20 North Western Region,Offences not elsewhere classified (16),Number,100
Recorded crime incidents,2023Q1,30 Eastern Region,Homicide & related offences (01),Number,4
Recorded crime incidents,2023Q1,30 Eastern Region,Murder (0111),Number,2
Recorded crime incidents,2023Q1,30 Eastern Region,Manslaughter (0112),Number,0
Recorded crime incidents,2023Q1,30 Eastern Region,Infanticide (0113),Number,0
Recorded crime incidents,2023Q1,30 Eastern Region,Dangerous driving leading to death (012),Number,2
Recorded crime incidents,2023Q1,30 Eastern Region,Sexual offences (02),Number,196
Recorded crime incidents,2023Q1,30 Eastern Region,Rape and sexual assault (021),Number,169
Recorded crime incidents,2023Q1,30 Eastern Region,Other sexual offences (022),Number,27
Recorded crime incidents,2023Q1,30 Eastern Region,"Attempts/threats to murder, assaults, harassments and related offences (03)",Number,1307
Recorded crime incidents,2023Q1,30 Eastern Region,Murder-attempt (0311),Number,1
Recorded crime incidents,2023Q1,30 Eastern Region,Threat to kill or cause serious harm (0313),Number,98
Recorded crime incidents,2023Q1,30 Eastern Region,Harassment and related offences (033),Number,125
Recorded crime incidents,2023Q1,30 Eastern Region,"Assault causing harm, poisoning (034)",Number,320
Recorded crime incidents,2023Q1,30 Eastern Region,Other assault (035),Number,763
Recorded crime incidents,2023Q1,30 Eastern Region,Dangerous or negligent acts (04),Number,2241
Recorded crime incidents,2023Q1,30 Eastern Region,Dangerous driving causing serious bodily harm (0411),Number,0
Recorded crime incidents,2023Q1,30 Eastern Region,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412,0413)",Number,422
Recorded crime incidents,2023Q1,30 Eastern Region,Driving/in charge of a vehicle while over legal alcohol limit (0412),Number,337
Recorded crime incidents,2023Q1,30 Eastern Region,Driving/in charge of a vehicle under the influence of drugs (0413),Number,85
Recorded crime incidents,2023Q1,30 Eastern Region,Dangerous/careless driving and motorway offences (0414),Number,269
Recorded crime incidents,2023Q1,30 Eastern Region,Speeding (0415),Number,1503
Recorded crime incidents,2023Q1,30 Eastern Region,Endangerment with potential for serious harm/death (0421),Number,12
Recorded crime incidents,2023Q1,30 Eastern Region,"Abandoning a child, child neglect and cruelty (0422)",Number,22
Recorded crime incidents,2023Q1,30 Eastern Region,Unseaworthy/dangerous use of boat or ship (0423),Number,0
Recorded crime incidents,2023Q1,30 Eastern Region,False alarm/interference with aircraft or air transport facilities (0424),Number,0
Recorded crime incidents,2023Q1,30 Eastern Region,Endangering traffic offences (0425),Number,13
Recorded crime incidents,2023Q1,30 Eastern Region,Kidnapping and related offences (05),Number,7
Recorded crime incidents,2023Q1,30 Eastern Region,False imprisonment (0511),Number,6
Recorded crime incidents,2023Q1,30 Eastern Region,Abduction of person under 16 years of age (0512),Number,0
Recorded crime incidents,2023Q1,30 Eastern Region,Human trafficking offences (0513),Number,1
Recorded crime incidents,2023Q1,30 Eastern Region,"Robbery, extortion and hijacking offences (06)",Number,104
Recorded crime incidents,2023Q1,30 Eastern Region,Robbery of an establishment or institution (0611),Number,11
Recorded crime incidents,2023Q1,30 Eastern Region,Robbery of cash or goods in transit (0612),Number,0
Recorded crime incidents,2023Q1,30 Eastern Region,Robbery from the person (0613),Number,37
Recorded crime incidents,2023Q1,30 Eastern Region,Blackmail or extortion (0621),Number,50
Recorded crime incidents,2023Q1,30 Eastern Region,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",Number,6
Recorded crime incidents,2023Q1,30 Eastern Region,Burglary and related offences (07),Number,577
Recorded crime incidents,2023Q1,30 Eastern Region,Aggravated burglary (0711),Number,15
Recorded crime incidents,2023Q1,30 Eastern Region,Burglary (not aggravated) (0712),Number,547
Recorded crime incidents,2023Q1,30 Eastern Region,"Possession of an article (with intent to burgle, steal, demand) (0713)",Number,15
Recorded crime incidents,2023Q1,30 Eastern Region,Theft and related offences (08),Number,3269
Recorded crime incidents,2023Q1,30 Eastern Region,Theft/taking of vehicle and related offences (081),Number,305
Recorded crime incidents,2023Q1,30 Eastern Region,Theft from person (0821),Number,38
Recorded crime incidents,2023Q1,30 Eastern Region,Theft from shop (0822),Number,1737
Recorded crime incidents,2023Q1,30 Eastern Region,"Other thefts, handling stolen property (084)",Number,1189
Recorded crime incidents,2023Q1,30 Eastern Region,"Fraud, deception and related offences (09)",Number,592
Recorded crime incidents,2023Q1,30 Eastern Region,Controlled drug offences (10),Number,954
Recorded crime incidents,2023Q1,30 Eastern Region,Importation of drugs (1011),Number,2
Recorded crime incidents,2023Q1,30 Eastern Region,Cultivation or manufacture of drugs (1012),Number,7
Recorded crime incidents,2023Q1,30 Eastern Region,Possession of drugs for sale or supply (1021),Number,248
Recorded crime incidents,2023Q1,30 Eastern Region,Possession of drugs for personal use (1022),Number,683
Recorded crime incidents,2023Q1,30 Eastern Region,Other drug offences (103),Number,14
Recorded crime incidents,2023Q1,30 Eastern Region,Weapons and explosives offences (11),Number,106
Recorded crime incidents,2023Q1,30 Eastern Region,"Explosives, chemical weapons offences (111)",Number,1
Recorded crime incidents,2023Q1,30 Eastern Region,Discharging a firearm (1121),Number,4
Recorded crime incidents,2023Q1,30 Eastern Region,Possession of a firearm (1122),Number,7
Recorded crime incidents,2023Q1,30 Eastern Region,Offensive weapons offences (n.e.c.) (113),Number,92
Recorded crime incidents,2023Q1,30 Eastern Region,Fireworks offences (114),Number,2
Recorded crime incidents,2023Q1,30 Eastern Region,Damage to property and to the environment  offences (12),Number,1213
Recorded crime incidents,2023Q1,30 Eastern Region,Arson (1211),Number,63
Recorded crime incidents,2023Q1,30 Eastern Region,Criminal damage (not arson) (1212),Number,1137
Recorded crime incidents,2023Q1,30 Eastern Region,Litter offences (1221),Number,13
Recorded crime incidents,2023Q1,30 Eastern Region,Public order and other social code offences (13),Number,1310
Recorded crime incidents,2023Q1,30 Eastern Region,Disorderly conduct (131),Number,1179
Recorded crime incidents,2023Q1,30 Eastern Region,Trespass offences (132),Number,99
Recorded crime incidents,2023Q1,30 Eastern Region,Liquor licensing offences (133),Number,7
Recorded crime incidents,2023Q1,30 Eastern Region,Prostitution offences (134),Number,0
Recorded crime incidents,2023Q1,30 Eastern Region,"Regulated betting/money, collection/trading offences (135)",Number,3
Recorded crime incidents,2023Q1,30 Eastern Region,Social code offences (n.e.c.) (136),Number,22
Recorded crime incidents,2023Q1,30 Eastern Region,Road and traffic offences (14),Number,2587
Recorded crime incidents,2023Q1,30 Eastern Region,"Driving licence-failure to have, produce, etc. (1411)",Number,220
Recorded crime incidents,2023Q1,30 Eastern Region,"Insurance-failure to have, produce, display, etc. (1412)",Number,435
Recorded crime incidents,2023Q1,30 Eastern Region,Vehicle tax/registration offences (142),Number,532
Recorded crime incidents,2023Q1,30 Eastern Region,Roadworthiness/regulatory offences (143),Number,52
Recorded crime incidents,2023Q1,30 Eastern Region,Obstruction under Road Traffic Acts (1432),Number,3
Recorded crime incidents,2023Q1,30 Eastern Region,Other road offences (1433),Number,1307
Recorded crime incidents,2023Q1,30 Eastern Region,Road transport - carriage of goods offences (1441),Number,10
Recorded crime incidents,2023Q1,30 Eastern Region,Public service vehicle offences (1442),Number,28
